id,ip_address,city,country,Times login,job_title,Age,Time_since_registration,Purchases_last_month,Unique_person_ID,IS_VIP_Client
54,239.190.135.251,’Unābah,AF,1,VP Quality Control,24,9,3434,1af74299-4e8e-46cd-97df-e49604f48eb2,1
780,249.234.134.70,Kushk,AF,1,Human Resources Manager,54,21,3519,b003901e-c4de-4726-a604-4221792fab9c,0
80,62.229.141.146,Āqchah,AF,1,Clinical Specialist,47,36,1263,ef65b02d-ff68-47fb-9115-5a8cce10452a,1
605,44.79.110.89,Taloqan,AF,1,Nurse Practicioner,47,36,1889,4aa21416-496a-470c-bf43-50770cc7ce20,0
205,211.247.79.11,Bagrāmī,AF,3,Mechanical Systems Engineer,53,46,2427,31a171e8-fe7c-4cde-a587-f1a1c9d7dc5e,0
178,188.165.85.155,Khān Neshīn,AF,1,Administrative Assistant I,74,73,966,b8de8aad-860b-4b47-9d27-5c87f6fb2649,0
797,143.18.48.151,Lekaj,AL,2,Software Engineer I,65,19,2151,1132150b-4728-427b-ae64-5d49e89e1522,0
637,32.94.59.150,Fier,AL,3,Structural Engineer,40,24,3355,c1dbd3dc-786f-42cc-9322-15b70aab29af,0
661,60.174.92.196,Kastrat,AL,1,Cost Accountant,54,43,2704,aeb3ae47-e340-4b2e-9b6d-03dba9e79780,0
763,252.162.162.20,Barmash,AL,5,Food Chemist,75,44,3544,812adc9b-217e-4585-bace-633c5812ffe8,1
177,255.10.211.23,Kukës,AL,1,VP Quality Control,42,66,2469,8458eb7e-19b6-40a3-8d26-3b2171763542,0
838,58.175.203.48,Bulqizë,AL,4,Payment Adjustment Coordinator,64,73,3146,e556bd2f-016a-4f75-b394-c7009e0e8e20,0
668,60.68.113.41,Hrazdan,AM,2,Account Coordinator,43,2,3174,16ea6855-85e7-4f9b-8356-6abe7e1f8335,0
329,91.233.119.108,Mayisyan,AM,2,Environmental Specialist,19,10,156,e428c755-43fb-4dbc-a761-acb277289dae,1
890,219.41.165.81,La Paz,AR,1,Recruiter,65,4,2858,c12411d1-0fea-4320-a660-d1532691146f,1
716,200.156.53.73,Río Tercero,AR,2,Accounting Assistant III,33,11,2532,0b19ed22-0ced-4269-90b5-fa03c74bf6f4,1
688,15.165.229.62,La Eduvigis,AR,1,Staff Scientist,46,12,107,804f1fc5-13a7-4a05-8f8d-3d0a8425b039,0
459,215.155.186.125,Quimilí,AR,1,Accounting Assistant III,59,12,3405,d737e69f-f038-4e45-929d-24ebf2341e98,1
542,70.154.198.205,Cinco Saltos,AR,1,Senior Developer,63,16,3639,31606eae-d7a6-4130-98f3-50ab76d4b334,0
32,40.53.159.7,Telsen,AR,3,Systems Administrator II,47,17,613,ad34bddc-84b3-496a-9ee4-5767513f5e38,0
986,114.42.70.179,Huinca Renancó,AR,2,Social Worker,66,23,1529,c59b1b0c-3a37-45b5-902f-b77532f2d1e8,1
692,193.147.195.11,Lanús,AR,2,Product Engineer,59,24,643,4c4e675f-047a-41c2-a1ef-3b741b511bf3,1
209,222.28.75.22,San Nicolás de los Arroyos,AR,4,Nurse Practicioner,25,25,3953,47bea2b7-e931-4446-9003-1a3cbef230d1,0
559,219.220.2.54,Tres Arroyos,AR,3,VP Product Management,35,25,503,f3fdb6da-d9f8-49f7-9234-0c52a3fb0d69,0
190,201.73.37.71,Chorotis,AR,1,Safety Technician IV,29,30,1489,e061eb6e-e45f-4774-b166-4977e5cfacea,0
598,169.57.107.74,La Banda,AR,3,Programmer Analyst II,21,35,68,7063c85e-cf60-4c15-896e-08771016e2ea,0
972,109.28.230.63,Posadas,AR,2,Staff Scientist,75,39,4535,befbf566-13e0-4008-a0cc-d2e7d0950eae,1
561,162.106.48.237,Los Juríes,AR,3,Web Designer I,22,41,618,f66661f5-5060-42ec-9852-3210383495e7,0
552,54.64.150.253,El Carmen,AR,3,Actuary,59,43,1107,14c5d81c-80d5-40dc-aad1-86516f5ee212,1
589,215.228.193.208,Tinogasta,AR,1,Occupational Therapist,38,64,4112,2f4c83fc-7bcb-40b9-8627-0c0921be8040,0
924,255.175.75.148,Brea Pozo,AR,1,Geologist IV,60,64,406,4bb06a06-dfb4-44db-ab68-5e8ffa93f454,0
549,164.75.217.227,Caleufú,AR,1,Product Engineer,31,65,4812,a11b3d93-a644-4ac7-a972-387ab8d6763d,0
296,136.203.34.131,Adelaide Mail Centre,AU,1,Administrative Officer,54,73,1572,3a5463db-8a48-42f0-ad85-05d63ac74fe8,0
505,153.55.233.130,Agdzhabedy,AZ,3,Help Desk Technician,71,45,3384,1977f6e3-b662-45ac-afa7-79198e190818,0
881,41.149.242.212,Binagadi,AZ,1,Recruiter,37,74,2423,8c9d40c3-ef72-4599-9c63-a99f6dc980d9,0
433,142.142.82.167,Kalenderovci Donji,BA,1,Director of Sales,54,3,4776,9095df4f-6409-4942-98a3-e597238e1146,0
761,92.79.119.0,Foča,BA,2,Help Desk Technician,76,32,4901,2cf4c85e-db86-4689-9faf-defd482ecd4a,0
217,119.139.189.106,Derventa,BA,1,Civil Engineer,41,51,4143,e04920d0-3294-4fc8-875f-864e8c92b9a4,0
699,3.175.80.134,Chittagong,BD,1,Mechanical Systems Engineer,70,2,2465,eb6fe17e-b5d7-4b39-ab1f-56240f9ad34c,0
359,184.152.85.124,Comilla,BD,2,Social Worker,28,23,2886,86b33660-3cba-42eb-a34f-8d7958025d7b,0
34,197.39.169.182,Uttar Char Fasson,BD,1,Financial Analyst,37,30,4317,73bb863d-714d-47f1-b138-70c7473a7586,0
171,211.103.221.191,Fada N'gourma,BF,1,Cost Accountant,29,33,3394,e775561d-b70f-4eff-8197-9e372d902173,0
630,170.88.254.150,Sindou,BF,1,Recruiting Manager,65,39,1891,83c9270f-cdd6-43b2-ab10-a76bee6c4a67,0
